title,rating,votes,language,release_date,runtime,budget,revenue,type,number_of_seasons,number_of_episodes,genres,release_year
X-Men: Days of Future Past,7.528,15624,en,2014-05-15,132.0,250000000.0,747862775.0,movie,,,Science Fiction,2014
Making Squid Game: The Challenge,7.657,121,en,2023-12-06,30.0,0.0,0.0,movie,,,Documentary,2023
Mountainhead,5.4,86,en,2025-06-01,109.0,0.0,0.0,movie,,,Drama,2025
Mountainhead,5.4,86,en,2025-06-01,109.0,0.0,0.0,movie,,,Comedy,2025
Pirates of the Caribbean: Dead Men Tell No Tales,6.652,12267,en,2017-05-23,129.0,230000000.0,795922298.0,movie,,,Adventure,2017
Pirates of the Caribbean: Dead Men Tell No Tales,6.652,12267,en,2017-05-23,129.0,230000000.0,795922298.0,movie,,,Action,2017
Pirates of the Caribbean: Dead Men Tell No Tales,6.652,12267,en,2017-05-23,129.0,230000000.0,795922298.0,movie,,,Fantasy,2017
Real Steel,7.049,8611,en,2011-09-28,127.0,110000000.0,299300000.0,movie,,,Action,2011
Real Steel,7.049,8611,en,2011-09-28,127.0,110000000.0,299300000.0,movie,,,Science Fiction,2011
Real Steel,7.049,8611,en,2011-09-28,127.0,110000000.0,299300000.0,movie,,,Drama,2011
Now You See Me,7.333,15847,en,2013-05-29,116.0,75000000.0,351723989.0,movie,,,Thriller,2013
Now You See Me,7.333,15847,en,2013-05-29,116.0,75000000.0,351723989.0,movie,,,Crime,2013
Frozen II,7.248,9938,en,2019-11-20,103.0,150000000.0,1453683476.0,movie,,,Family,2019
Frozen II,7.248,9938,en,2019-11-20,103.0,150000000.0,1453683476.0,movie,,,Animation,2019
Frozen II,7.248,9938,en,2019-11-20,103.0,150000000.0,1453683476.0,movie,,,Adventure,2019
Frozen II,7.248,9938,en,2019-11-20,103.0,150000000.0,1453683476.0,movie,,,Comedy,2019
Frozen II,7.248,9938,en,2019-11-20,103.0,150000000.0,1453683476.0,movie,,,Fantasy,2019
Ballerina,7.021,573,ko,2023-10-05,93.0,0.0,0.0,movie,,,Action,2023
Ballerina,7.021,573,ko,2023-10-05,93.0,0.0,0.0,movie,,,Thriller,2023
The Brutalist,7.01,1122,en,2024-12-20,215.0,9600000.0,50145227.0,movie,,,Drama,2024
The Secret Life of Walter Mitty,7.197,7807,en,2013-12-18,114.0,90000000.0,188133322.0,movie,,,Adventure,2013
The Secret Life of Walter Mitty,7.197,7807,en,2013-12-18,114.0,90000000.0,188133322.0,movie,,,Comedy,2013
The Secret Life of Walter Mitty,7.197,7807,en,2013-12-18,114.0,90000000.0,188133322.0,movie,,,Drama,2013
The Secret Life of Walter Mitty,7.197,7807,en,2013-12-18,114.0,90000000.0,188133322.0,movie,,,Fantasy,2013
Heart Eyes,6.39,254,en,2025-02-06,97.0,18000000.0,32947032.0,movie,,,Horror,2025
Heart Eyes,6.39,254,en,2025-02-06,97.0,18000000.0,32947032.0,movie,,,Comedy,2025
Heart Eyes,6.39,254,en,2025-02-06,97.0,18000000.0,32947032.0,movie,,,Romance,2025
Beauty and the Beast,7.731,10182,en,1991-10-22,84.0,25000000.0,424967620.0,movie,,,Romance,1991
Beauty and the Beast,7.731,10182,en,1991-10-22,84.0,25000000.0,424967620.0,movie,,,Family,1991
Beauty and the Beast,7.731,10182,en,1991-10-22,84.0,25000000.0,424967620.0,movie,,,Animation,1991
Beauty and the Beast,7.731,10182,en,1991-10-22,84.0,25000000.0,424967620.0,movie,,,Fantasy,1991
Aladdin,7.096,10250,en,2019-05-22,127.0,183000000.0,1097831681.0,movie,,,Adventure,2019
Aladdin,7.096,10250,en,2019-05-22,127.0,183000000.0,1097831681.0,movie,,,Fantasy,2019
Aladdin,7.096,10250,en,2019-05-22,127.0,183000000.0,1097831681.0,movie,,,Romance,2019
Aladdin,7.096,10250,en,2019-05-22,127.0,183000000.0,1097831681.0,movie,,,Family,2019
Talk to Me,7.157,3254,en,2023-07-26,95.0,4500000.0,91959188.0,movie,,,Horror,2023
Sharp Corner,6.3,20,en,2025-05-09,111.0,0.0,0.0,movie,,,Thriller,2025
Sharp Corner,6.3,20,en,2025-05-09,111.0,0.0,0.0,movie,,,Comedy,2025
Colombiana,6.631,2679,en,2011-07-27,108.0,40000000.0,71508440.0,movie,,,Action,2011
Colombiana,6.631,2679,en,2011-07-27,108.0,40000000.0,71508440.0,movie,,,Thriller,2011
Colombiana,6.631,2679,en,2011-07-27,108.0,40000000.0,71508440.0,movie,,,Crime,2011
Colombiana,6.631,2679,en,2011-07-27,108.0,40000000.0,71508440.0,movie,,,Drama,2011
The Bad Guys: Haunted Heist,6.945,127,en,2024-10-02,25.0,0.0,0.0,movie,,,Animation,2024
The Bad Guys: Haunted Heist,6.945,127,en,2024-10-02,25.0,0.0,0.0,movie,,,Comedy,2024
"¡Qué Huevos, Sofía!",8.567,30,es,2025-02-27,106.0,0.0,0.0,movie,,,Comedy,2025
The Hobbit: The Desolation of Smaug,7.57,13508,en,2013-12-11,161.0,250000000.0,958400000.0,movie,,,Fantasy,2013
The Hobbit: The Desolation of Smaug,7.57,13508,en,2013-12-11,161.0,250000000.0,958400000.0,movie,,,Adventure,2013
The Hobbit: The Desolation of Smaug,7.57,13508,en,2013-12-11,161.0,250000000.0,958400000.0,movie,,,Action,2013
Lembayung,6.8,9,id,2024-09-19,123.0,0.0,0.0,movie,,,Horror,2024
Lembayung,6.8,9,id,2024-09-19,123.0,0.0,0.0,movie,,,Thriller,2024
The Legendary Lighter,4.0,2,ko,2019-10-29,109.0,0.0,0.0,movie,,,Action,2019
Wolf Man,6.341,656,en,2025-01-15,102.0,25000000.0,35150643.0,movie,,,Horror,2025
Wolf Man,6.341,656,en,2025-01-15,102.0,25000000.0,35150643.0,movie,,,Thriller,2025
La La Land,7.9,17323,en,2016-12-01,129.0,30000000.0,509183536.0,movie,,,Comedy,2016
La La Land,7.9,17323,en,2016-12-01,129.0,30000000.0,509183536.0,movie,,,Drama,2016
La La Land,7.9,17323,en,2016-12-01,129.0,30000000.0,509183536.0,movie,,,Romance,2016
La La Land,7.9,17323,en,2016-12-01,129.0,30000000.0,509183536.0,movie,,,Music,2016
Transformers: Age of Extinction,5.941,8348,en,2014-06-25,165.0,210000000.0,1104054072.0,movie,,,Science Fiction,2014
Transformers: Age of Extinction,5.941,8348,en,2014-06-25,165.0,210000000.0,1104054072.0,movie,,,Action,2014
Transformers: Age of Extinction,5.941,8348,en,2014-06-25,165.0,210000000.0,1104054072.0,movie,,,Adventure,2014
Ready Player One,7.588,16066,en,2018-03-28,140.0,175000000.0,607274134.0,movie,,,Adventure,2018
Ready Player One,7.588,16066,en,2018-03-28,140.0,175000000.0,607274134.0,movie,,,Action,2018
Ready Player One,7.588,16066,en,2018-03-28,140.0,175000000.0,607274134.0,movie,,,Science Fiction,2018
Pretty Woman,7.463,8533,en,1990-03-23,120.0,14000000.0,463406268.0,movie,,,Romance,1990
Pretty Woman,7.463,8533,en,1990-03-23,120.0,14000000.0,463406268.0,movie,,,Comedy,1990
Mountainhead,5.4,86,en,2025-06-01,109.0,0.0,0.0,movie,,,Drama,2025
Mountainhead,5.4,86,en,2025-06-01,109.0,0.0,0.0,movie,,,Comedy,2025
The Aristocats,7.287,5152,en,1970-12-24,78.0,4000000.0,191000000.0,movie,,,Animation,1970
The Aristocats,7.287,5152,en,1970-12-24,78.0,4000000.0,191000000.0,movie,,,Comedy,1970
The Aristocats,7.287,5152,en,1970-12-24,78.0,4000000.0,191000000.0,movie,,,Family,1970
The Aristocats,7.287,5152,en,1970-12-24,78.0,4000000.0,191000000.0,movie,,,Adventure,1970
Night,10.0,0,ar,2024-09-07,16.0,0.0,0.0,movie,,,Animation,2024
Cheeky,5.7,267,it,2000-01-28,91.0,2100000.0,0.0,movie,,,Comedy,2000
Cheeky,5.7,267,it,2000-01-28,91.0,2100000.0,0.0,movie,,,Drama,2000
Cheeky,5.7,267,it,2000-01-28,91.0,2100000.0,0.0,movie,,,Romance,2000
Boléro,6.44,50,fr,2024-03-06,120.0,12900000.0,3337320.0,movie,,,Music,2024
Boléro,6.44,50,fr,2024-03-06,120.0,12900000.0,3337320.0,movie,,,History,2024
Boléro,6.44,50,fr,2024-03-06,120.0,12900000.0,3337320.0,movie,,,Drama,2024
The Secret Path,7.267,15,en,1999-04-02,98.0,0.0,0.0,movie,,,Drama,1999
The Secret Path,7.267,15,en,1999-04-02,98.0,0.0,0.0,movie,,,TV Movie,1999
Evil Dead Rise,6.934,3292,en,2023-04-12,96.0,15000000.0,147156372.0,movie,,,Horror,2023
Evil Dead Rise,6.934,3292,en,2023-04-12,96.0,15000000.0,147156372.0,movie,,,Thriller,2023
Napoleon,6.345,2762,en,2023-11-22,158.0,165000000.0,220597098.0,movie,,,History,2023
Napoleon,6.345,2762,en,2023-11-22,158.0,165000000.0,220597098.0,movie,,,War,2023
Napoleon,6.345,2762,en,2023-11-22,158.0,165000000.0,220597098.0,movie,,,Romance,2023
Stitch! The Movie,6.429,730,en,2003-09-10,63.0,0.0,0.0,movie,,,Comedy,2003
Stitch! The Movie,6.429,730,en,2003-09-10,63.0,0.0,0.0,movie,,,Adventure,2003
Stitch! The Movie,6.429,730,en,2003-09-10,63.0,0.0,0.0,movie,,,Family,2003
Stitch! The Movie,6.429,730,en,2003-09-10,63.0,0.0,0.0,movie,,,Animation,2003
Stitch! The Movie,6.429,730,en,2003-09-10,63.0,0.0,0.0,movie,,,Science Fiction,2003
Prey,6.15,316,en,2024-03-15,86.0,0.0,0.0,movie,,,Action,2024
Prey,6.15,316,en,2024-03-15,86.0,0.0,0.0,movie,,,Thriller,2024
Prey,6.15,316,en,2024-03-15,86.0,0.0,0.0,movie,,,Horror,2024
Joker: Folie à Deux,5.433,2431,en,2024-10-01,138.0,190000000.0,207500287.0,movie,,,Drama,2024
Joker: Folie à Deux,5.433,2431,en,2024-10-01,138.0,190000000.0,207500287.0,movie,,,Crime,2024
